"Name","Sector","Industry","Full.Time.Employees","Total.ESG.Risk.score","Environment.Risk.Score","Governance.Risk.Score","Social.Risk.Score","Controversy.Level","Controversy.Score","ESG.Risk.Percentile","ESG.Risk.Level"
"Advanced Micro Devices","Technology","Semiconductors",25000,21.83,3.87,5.9,12,"Moderate",2,54.57,"Low"
"Ametek Inc","Industrials","Specialty Industrial Machinery",19600,24,8.6,6.9,8.5,"Significant",3,41,"Low"
"Amgen Inc","Healthcare","Drug Manufacturers—General",25200,22,0.7,7.9,13.5,"Moderate",2,32,"Low"
"Ameriprise Financial Inc","Financial Services","Asset Management",13500,23,2.6,12.8,7.2,"Moderate",2,35,"Low"
"American Tower Corp","Real Estate","REIT—Specialty",6391,11,2.4,5,3.6,"Low",1,3,"Severe"
"Amazon.com Inc","Consumer Cyclical","Internet Retail",1541000,30,5.6,9.9,14.8,"Significant",3,64,"Low"
"Arista Networks Inc","Technology","Computer Hardware",3612,16,0,7,9,"Moderate",2,14,"Severe"
"Ansys Inc","Technology","Software—Application",6000,13,1,5,7,"Low",1,6,"Severe"
"Aon Plc Class A","Financial Services","Insurance Brokers",50000,15.91,1.31,7,7.6,"Moderate",2,23.76,"Severe"
"Smith (a.O.) Corp","Industrials","Specialty Industrial Machinery",12000,25,7,6,12,"Significant",3,47,"Low"
"Apa Corp","Energy","Oil & Gas E&P",2273,39,22,8,8.9,"High",4,83,"Medium"
"Air Products & Chemicals Inc","Basic Materials","Specialty Chemicals",19710,11,5.9,3.6,1.3,"Low",1,3,"Severe"
"Amphenol Corp Cl A","Technology","Electronic Components",91000,21,8,7.8,5.5,"Moderate",2,31,"Low"
"Aptiv Plc","Consumer Cyclical","Auto Parts",160000,12,2,5,4,"Low",1,4,"Severe"
"Alexandria Real Estate Equit","Real Estate","REIT—Office",593,14,3.9,6.3,3.7,"Low",1,8,"Severe"
"Atmos Energy Corp","Utilities","Utilities—Regulated Gas",4791,35,14.8,6.5,13.4,"High",4,80,"Medium"
"Activision Blizzard Inc","Communication Services","Electronic Gaming & Multimedia",13000,19,0.2,6.3,12.5,"Moderate",2,22,"Severe"
"Avalonbay Communities Inc","Real Estate","REIT—Residential",2859,11,3,5,3,"Low",1,3,"Severe"
"Broadcom Inc","Technology","Semiconductors",20000,22,8.8,6.7,6.9,"Moderate",2,34,"Low"
"Avery Dennison Corp","Consumer Cyclical","Packaging & Containers",2900,15,10.6,3.7,1.1,"Low",1,11,"Severe"
"American Water Works Co Inc","Utilities","Utilities—Regulated Water",6500,22,9,5,8,"Moderate",2,32,"Low"
"Axon Enterprise Inc","Industrials","Aerospace & Defense",2821,26.3,6.93,6,13.3,"Significant",3,78.03,"Medium"
"American Express Co","Financial Services","Credit Services",77300,18,0.1,9.9,8.4,"Moderate",2,20,"Severe"
"Autozone Inc","Consumer Cyclical","Specialty Retail",69440,11,0.1,3.8,7.1,"Low",1,3,"Severe"
"Boeing Co","Industrials","Aerospace & Defense",156000,35,7.1,7.9,19.7,"High",4,78,"Medium"
"Bank of America Corp","Financial Services","Banks—Diversified",216000,27,1.6,11.2,14.4,"Significant",3,52,"Low"
"Ball Corp","Consumer Cyclical","Packaging & Containers",21000,11,5.9,3.8,1.1,"Low",1,3,"Severe"
"Baxter International Inc","Healthcare","Medical Instruments & Supplies",60000,24,2.8,7.3,13.6,"Significant",3,39,"Low"
"Bath & Body Works Inc","Consumer Cyclical","Specialty Retail",8800,16,3,4,8,"Moderate",2,12,"Severe"
"Best Buy Co Inc","Consumer Cyclical","Specialty Retail",52200,14,2.2,4.8,7.2,"Low",1,9,"Severe"
"Becton Dickinson and Co","Healthcare","Medical Instruments & Supplies",77000,27,3.7,7.5,15.6,"Significant",3,51,"Low"
"Franklin Resources Inc","Financial Services","Asset Management",9300,18,1,7,10,"Moderate",2,20,"Severe"
"Brown Forman Corp Class B","Technology","Utilities—Regulated Electric",57060.3407258064,25,7.2,7.7,10.1,"Significant",3,71.07,"Medium"
"Bunge Ltd","Consumer Defensive","Farm Products",23000,34,15.3,5.3,13.6,"High",4,78,"Medium"
"Biogen Inc","Healthcare","Drug Manufacturers—General",8725,21,0,7.8,13.2,"Moderate",2,29,"Low"
"Bio Rad Laboratories A","Healthcare","Medical Devices",8200,17,1,7,8,"Moderate",2,15,"Severe"
"Bank of New York Mellon Corp","Financial Services","Asset Management",53200,21,1.1,11.2,9.2,"Moderate",2,30,"Low"
"Booking Holdings Inc","Consumer Cyclical","Travel Services",23100,22,2,7.8,12.5,"Moderate",2,33,"Low"
"Baker Hughes Co","Energy","Oil & Gas Equipment & Services",57000,29.72,17.18,6.5,6,"Significant",3,87.57,"High"
"Blackrock Inc","Financial Services","Asset Management",19300,21,1.5,9.5,9.6,"Moderate",2,27,"Low"
"Bristol Myers Squibb Co","Healthcare","Drug Manufacturers—General",34300,23,0.3,7.6,14.9,"Moderate",2,35,"Low"
"Broadridge Financial Solutio","Technology","Information Technology Services",14700,16,0.8,6.4,9,"Moderate",2,13,"Severe"
"Berkshire Hathaway Inc Cl B","Financial Services","Insurance—Diversified",383000,11.75,1.31,3,7.3,"Low",1,5.47,"Severe"
"Brown & Brown Inc","Financial Services","Insurance Brokers",15201,21,0.2,10.7,10.6,"Moderate",2,31,"Low"
"Boston Scientific Corp","Healthcare","Medical Devices",45000,26,3,10.6,12.7,"Significant",3,49,"Low"
"Borgwarner Inc","Consumer Cyclical","Auto Parts",52700,13,3,6,4,"Low",1,6,"Severe"
"Boston Properties Inc","Real Estate","REIT—Office",780,13,3,5,5,"Low",1,5,"Severe"
"Citigroup Inc","Financial Services","Banks—Diversified",240000,27,1.8,11.8,13.1,"Significant",3,51,"Low"
"Conagra Brands Inc","Consumer Defensive","Packaged Foods",18600,32,11,4.9,15.9,"High",4,71,"Medium"
"Cardinal Health Inc","Healthcare","Medical Distribution",47040,12,2,5,6,"Low",1,5,"Severe"
"Carrier Global Corp","Industrials","Building Products & Equipment",52000,25.04,6.93,9.8,8.4,"Significant",3,72.96,"Medium"
"Caterpillar Inc","Technology","Utilities—Regulated Electric",57060.3407258064,34,7.2,8.5,18.5,"High",4,76,"Medium"
"Chubb Ltd","Financial Services","Insurance—Property & Casualty",34000,24,1.7,10.6,11.6,"Significant",3,39,"Low"
"Cboe Global Markets Inc","Financial Services","Financial Data & Stock Exchanges",1543,21,2.7,10.6,7.6,"Moderate",2,29,"Low"
"Cbre Group Inc A","Real Estate","Real Estate Services",115000,7,1,3,2,"Low",1,1,"Severe"
"Crown Castle Inc","Real Estate","REIT—Specialty",5000,13,5.2,5.1,2.9,"Low",1,7,"Severe"
"Carnival Corp","Consumer Cyclical","Travel Services",87000,24,10,3.8,9.9,"Significant",3,39,"Low"
"Ceridian Hcm Holding Inc","Technology","Software—Application",8526,24.03,3.87,6.1,14,"Significant",3,68.69,"Medium"
"Cadence Design Sys Inc","Technology","Software—Application",10200,12,1.4,4.7,6.1,"Low",1,5,"Severe"
"Cdw Corp/de","Technology","Information Technology Services",11100,9,2,4,3,"Low",1,2,"Severe"
"Celanese Corp","Basic Materials","Chemicals",13263,29,15.1,6.5,7.7,"Significant",3,62,"Low"
"Constellation Energy","Utilities","Utilities—Renewable",13370,28.54,12.66,5.7,10.1,"Significant",3,84,"Medium"
"Cf Industries Holdings Inc","Basic Materials","Agricultural Inputs",2700,30,16.8,5.5,7.7,"Significant",3,65,"Low"
"Citizens Financial Group","Financial Services","Banks—Regional",18468,23,2,11.4,10.1,"Moderate",2,39,"Low"
"Church & Dwight Co Inc","Consumer Defensive","Household & Personal Products",5250,20,7,7,7,"Moderate",2,25,"Severe"
"C.H. Robinson Worldwide Inc","Industrials","Integrated Freight & Logistics",16523,20,5,6,9,"Moderate",2,26,"Low"
"Charter Communications Inc A","Communication Services","Telecom Services",101700,27,6,8,13,"Significant",3,50,"Low"
"The Cigna Group","Healthcare","Healthcare Plans",71300,12,0,5.7,6,"Low",1,3,"Severe"
"Cincinnati Financial Corp","Financial Services","Insurance—Property & Casualty",5148,26,1.8,12.8,11,"Significant",3,47,"Low"
"Colgate Palmolive Co","Consumer Defensive","Household & Personal Products",33800,22,6.1,6.7,9.4,"Moderate",2,33,"Low"
"Clorox Company","Consumer Defensive","Household & Personal Products",8700,21,6.3,5.6,9.2,"Moderate",2,30,"Low"
"Comerica Inc","Financial Services","Banks—Regional",7280,26,2,13,11,"Significant",3,49,"Low"
"Comcast Corp Class A","Communication Services","Telecom Services",186000,25,4.6,8.1,12.1,"Significant",3,43,"Low"
"Cme Group Inc","Financial Services","Financial Data & Stock Exchanges",3460,15,2.1,6.2,6.2,"Low",1,9,"Severe"
"Chipotle Mexican Grill Inc","Consumer Cyclical","Restaurants",104958,24,5.5,4.7,13.4,"Significant",3,39,"Low"
"Cummins Inc","Industrials","Specialty Industrial Machinery",73600,19,5.8,6.1,7.5,"Moderate",2,23,"Severe"
"Cms Energy Corp","Utilities","Utilities—Regulated Electric",8560,21,9.8,5.7,5.8,"Moderate",2,30,"Low"
"Centene Corp","Healthcare","Healthcare Plans",74300,21,0.1,7.2,13.3,"Moderate",2,28,"Low"
"Centerpoint Energy Inc","Utilities","Utilities—Regulated Electric",8986,26,10.6,5.4,9.6,"Significant",3,47,"Low"
"Capital One Financial Corp","Financial Services","Credit Services",55600,23,0,9,13,"Moderate",2,35,"Low"
"Cooper Cos Inc","Healthcare","Medical Instruments & Supplies",14000,20,2.7,6,10.8,"Moderate",2,24,"Severe"
"Conocophillips","Energy","Oil & Gas E&P",9700,35,17.3,7.9,9.7,"High",4,78,"Medium"
"Costco Wholesale Corp","Consumer Defensive","Discount Stores",304000,24,7.3,5.7,11.2,"Significant",3,41,"Low"
"Campbell Soup Co","Consumer Defensive","Packaged Foods",14700,24,11,4,8,"Significant",3,39,"Low"
"Copart Inc","Industrials","Specialty Business Services",9500,18,1.6,5.4,11,"Moderate",2,19,"Severe"
"Camden Property Trust","Real Estate","REIT—Residential",1650,16,4.5,7.3,4.1,"Moderate",2,13,"Severe"
"Charles River Laboratories","Healthcare","Diagnostics & Research",20000,21.26,1.8,8.5,11,"Moderate",2,54.37,"Low"
"Salesforce Inc","Technology","Software—Application",79390,13,2.3,4.5,6.4,"Low",1,7,"Severe"
"Cisco Systems Inc","Technology","Communication Equipment",57060.3407258064,12,0,6.4,5.6,"Low",1,5,"Severe"
"Costar Group Inc","Real Estate","Real Estate Services",5653,27,5.4,8.4,13.1,"Significant",3,53,"Low"
"Csx Corp","Industrials","Railroads",22700,20,7.4,3.4,9.2,"Moderate",2,26,"Low"
"Cintas Corp","Industrials","Specialty Business Services",44500,18,3,6,9,"Moderate",2,20,"Severe"
"Catalent Inc","Healthcare","Drug Manufacturers—Specialty & Generic",19000,15.07,1.8,5.2,8,"Moderate",2,23.56,"Severe"
"Coterra Energy Inc","Energy","Oil & Gas E&P",981,46,24.1,8.8,13.1,"Severe",5,96,"High"
"Cognizant Tech Solutions A","Technology","Information Technology Services",345600,14,1.1,5.6,7.6,"Low",1,9,"Severe"
"Corteva Inc","Basic Materials","Agricultural Inputs",21000,25.83,12.95,5.4,7.4,"Significant",3,73.66,"Medium"
"Cvs Health Corp","Healthcare","Healthcare Plans",219000,23,0,6.4,16.4,"Moderate",2,36,"Low"
"Chevron Corp","Energy","Oil & Gas Integrated",43846,38,18.6,10.3,8.7,"High",4,85,"High"
"Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos",49000,22.18,5.02,6,11.1,"Moderate",2,59.54,"Low"
"Dominion Energy Inc","Utilities","Utilities—Regulated Electric",17200,25,11.1,5.7,8.6,"Significant",3,45,"Low"
"Delta Air Lines Inc","Industrials","Airlines",95000,26,10,5,11,"Significant",3,49,"Low"
"Dupont De Nemours Inc","Basic Materials","Specialty Chemicals",23000,29,13.4,7.4,8.1,"Significant",3,59,"Low"
"Deere & Co","Industrials","Farm & Heavy Construction Machinery",82200,17,3.2,6.6,6.9,"Moderate",2,15,"Severe"
"Discover Financial Services","Financial Services","Credit Services",20200,23,0,11,12,"Moderate",2,34,"Low"
"Dollar General Corp","Consumer Defensive","Discount Stores",170000,17,3.3,5.5,8.6,"Moderate",2,17,"Severe"
"Quest Diagnostics Inc","Healthcare","Diagnostics & Research",40000,21,0.1,8.2,12.7,"Moderate",2,29,"Low"
"Dr Horton Inc","Consumer Cyclical","Residential Construction",13237,22,9.4,5.7,6.7,"Moderate",2,32,"Low"
"Danaher Corp","Healthcare","Diagnostics & Research",79000,12,1.4,5.2,5.2,"Low",1,4,"Severe"
"Walt Disney Co","Communication Services","Entertainment",171600,15,0.1,6.9,7.9,"Low",1,10,"Severe"
"Digital Realty Trust Inc","Real Estate","REIT—Specialty",3412,13,2.8,7,2.8,"Low",1,6,"Severe"
"Dollar Tree Inc","Consumer Defensive","Discount Stores",65025,15,3.4,4.1,7.4,"Low",1,10,"Severe"
"Dover Corp","Industrials","Specialty Industrial Machinery",25000,25,7.1,5.8,12.4,"Significant",3,46,"Low"
"Dow Inc","Basic Materials","Chemicals",37800,25.47,12.95,6.7,5.8,"Significant",3,73.26,"Medium"
"Domino S Pizza Inc","Consumer Cyclical","Restaurants",6500,31,7.7,6.6,16.7,"Significant",3,69,"Medium"
"Darden Restaurants Inc","Consumer Cyclical","Restaurants",187384,28,8.4,4.6,15,"Significant",3,57,"Low"
"Dte Energy Company","Utilities","Utilities—Regulated Electric",10102,30,15,5,10,"Significant",3,66,"Medium"
"Duke Energy Corp","Utilities","Utilities—Regulated Electric",27859,28,14.5,4.6,8.6,"Significant",3,54,"Low"
"Davita Inc","Healthcare","Medical Care Facilities",70000,23,0,8,14,"Moderate",2,35,"Low"
"Devon Energy Corp","Energy","Oil & Gas E&P",1800,37,20.7,7.8,8.1,"High",4,85,"High"
"Dxc Technology Co","Technology","Information Technology Services",130000,16,1,5,10,"Moderate",2,13,"Severe"
"Dexcom Inc","Healthcare","Medical Devices",7500,24,5,8,10,"Significant",3,40,"Low"
"Electronic Arts Inc","Communication Services","Electronic Gaming & Multimedia",13400,10,0.1,4.7,5.5,"Low",1,3,"Severe"
"Ebay Inc","Consumer Cyclical","Internet Retail",11600,17,1,7,9,"Moderate",2,16,"Severe"
"Ecolab Inc","Basic Materials","Specialty Chemicals",47000,24,9,6,8,"Significant",3,40,"Low"
"Consolidated Edison Inc","Utilities","Utilities—Regulated Electric",14319,23,7.5,6.3,9.3,"Moderate",2,37,"Low"
"Equifax Inc","Industrials","Consulting Services",14000,26,0,7,19,"Significant",3,48,"Low"
"Everest Group Ltd","Financial Services","Insurance—Reinsurance",2428,18.78,1.31,5.4,12,"Moderate",2,40.46,"Low"
"Edison International","Utilities","Utilities—Regulated Electric",13388,27,11,6,11,"Significant",3,53,"Low"
"Estee Lauder Companies Cl A","Consumer Defensive","Household & Personal Products",44020,26,6.9,7.7,11.3,"Significant",3,48,"Low"
"Elevance Health Inc","Healthcare","Healthcare Plans",102300,11,0,5.7,5.8,"Low",1,4,"Severe"
"Eastman Chemical Co","Basic Materials","Specialty Chemicals",14500,25,12,7,5,"Significant",3,43,"Low"
"Emerson Electric Co","Industrials","Specialty Industrial Machinery",85500,29,10.1,7,12.3,"Significant",3,61,"Low"
"Enphase Energy Inc","Technology","Solar",2821,24.88,3.87,7.6,13.4,"Significant",3,69.28,"Medium"
"Eog Resources Inc","Energy","Oil & Gas E&P",2850,36,20.4,7.7,8.1,"High",4,82,"Medium"
"Epam Systems Inc","Technology","Information Technology Services",59300,14.94,3.87,5,6,"Low",1,19.58,"Severe"
"Equinix Inc","Real Estate","REIT—Specialty",12621,12,2.6,5.7,3.5,"Low",1,4,"Severe"
"Equity Residential","Real Estate","REIT—Residential",2400,11,3,5,3,"Low",1,4,"Severe"
"Eqt Corp","Energy","Oil & Gas E&P",744,37,19,7.5,10.1,"High",4,85,"High"
"Eversource Energy","Utilities","Utilities—Regulated Electric",10000,19,5,6,8,"Moderate",2,21,"Severe"
"Essex Property Trust Inc","Real Estate","REIT—Residential",1770,12,3.5,6.1,2.7,"Low",1,5,"Severe"
"Eaton Corp Plc","Industrials","Specialty Industrial Machinery",92000,18,5.4,5.7,6.8,"Moderate",2,18,"Severe"
"Entergy Corp","Utilities","Utilities—Regulated Electric",12000,30,16.3,6.4,6.8,"Significant",3,64,"Low"
"Etsy Inc","Consumer Cyclical","Internet Retail",2790,21.23,5.02,7,9.2,"Moderate",2,54.17,"Low"
"Evergy Inc","Utilities","Utilities—Regulated Electric",4512,28.73,12.66,5.9,10.1,"Significant",3,84.19,"Medium"
"Edwards Lifesciences Corp","Healthcare","Medical Devices",17300,19,2.9,7.6,8.9,"Moderate",2,24,"Severe"
"Exelon Corp","Utilities","Utilities—Regulated Electric",19063,24,8.8,6.6,9,"Significant",3,42,"Low"
"Expeditors Intl Wash Inc","Industrials","Integrated Freight & Logistics",19900,16,3.8,4.6,7.3,"Moderate",2,12,"Severe"
"Expedia Group Inc","Consumer Cyclical","Travel Services",16500,26,2.1,9.8,13.8,"Significant",3,48,"Low"
"Extra Space Storage Inc","Real Estate","REIT—Industrial",4781,14,4,6,4,"Low",1,8,"Severe"
"Ford Motor Co","Consumer Cyclical","Auto Manufacturers",173000,30,9.3,9.4,11.3,"Significant",3,63,"Low"
"Diamondback Energy Inc","Energy","Oil & Gas E&P",972,36.57,17.18,8.6,10.8,"High",4,97.51,"High"
"Fastenal Co","Industrials","Industrial Distribution",20631,26,10.7,7.1,8.7,"Significant",3,51,"Low"
"Freeport Mcmoran Inc","Basic Materials","Copper",25600,32,16.6,5.2,10.1,"High",4,72,"Medium"
"Factset Research Systems Inc","Financial Services","Financial Data & Stock Exchanges",12072,20,2.9,6.6,10.9,"Moderate",2,27,"Low"
"Fedex Corp","Industrials","Integrated Freight & Logistics",328000,20,5.3,5.8,9.3,"Moderate",2,27,"Low"
"Firstenergy Corp","Utilities","Utilities—Regulated Electric",12335,30,13,6.8,9.7,"Significant",3,63,"Low"
"F5 Inc","Technology","Software—Infrastructure",4097,19,1,5,12,"Moderate",2,23,"Severe"
"Fiserv Inc","Technology","Information Technology Services",41000,17.29,3.87,11.6,2,"Moderate",2,36.18,"Low"
"Fair Isaac Corp","Technology","Software—Application",3437,18.9,3.87,6.4,8.6,"Moderate",2,40.85,"Low"
"Fidelity National Info Serv","Technology","Information Technology Services",69000,18,1.3,5.7,11.1,"Moderate",2,19,"Severe"
"Fifth Third Bancorp","Financial Services","Banks—Regional",19225,17,1.4,7.4,8.7,"Moderate",2,17,"Severe"
"Fleetcor Technologies Inc","Technology","Software—Infrastructure",9900,18,2.9,6.2,9.1,"Moderate",2,20,"Severe"
"Fmc Corp","Basic Materials","Agricultural Inputs",6600,33,16,7,9,"High",4,74,"Medium"
"Fox Corp Class B","Communication Services","Entertainment",10400,9.51,1.79,5.7,2,"Low",1,1.09,"Severe"
"Fox Corp Class A","Communication Services","Entertainment",10400,12.43,1.79,5.5,5.1,"Low",1,11.03,"Severe"
"Federal Realty Invs Trust","Real Estate","REIT—Retail",314,12,2,6,4,"Low",1,4,"Severe"
"First Solar Inc","Technology","Solar",5500,11.89,3.87,6,2,"Low",1,5.67,"Severe"
"Fortinet Inc","Technology","Software—Infrastructure",13677,19,1.2,5.7,12.2,"Moderate",2,23,"Severe"
"Fortrea Holdings Inc","Healthcare","Biotechnology",19000,20.91,1.8,7.1,12,"Moderate",2,49.4,"Low"
"Fortive Corp","Technology","Scientific & Technical Instruments",18000,35,16,5,14,"High",4,80,"Medium"
"General Dynamics Corp","Industrials","Aerospace & Defense",106500,35,8.5,6.9,19.5,"High",4,78,"Medium"
"General Electric Co","Industrials","Specialty Industrial Machinery",172000,41,14.1,11.6,15,"Severe",5,90,"High"
"Ge Healthcare Technology","Healthcare","Health Information Services",50000,17.17,1.8,5.3,10,"Moderate",2,35.59,"Low"
"Gen Digital Inc","Technology","Software—Infrastructure",3700,15,0.7,4.8,9.5,"Low",1,10,"Severe"
"Gilead Sciences Inc","Healthcare","Drug Manufacturers—General",17000,22,0,8,14,"Moderate",2,33,"Low"
"General Mills Inc","Consumer Defensive","Packaged Foods",34000,22,8,4,9,"Moderate",2,31,"Low"
"Globe Life Inc","Financial Services","Insurance—Life",3543,20,2,11,8,"Moderate",2,27,"Low"
"Corning Inc","Technology","Electronic Components",57500,19,7,7,5,"Moderate",2,24,"Severe"
"General Motors Co","Consumer Cyclical","Auto Manufacturers",167000,31,10.3,7.7,12.9,"Significant",3,66,"Medium"
"Generac Holdings Inc","Industrials","Specialty Industrial Machinery",9160,26.6,6.93,6,13.6,"Significant",3,78.23,"Medium"
"Alphabet Inc Cl C","Communication Services","Internet Content & Information",181798,25.91,1.79,12.5,11.8,"Significant",3,73.86,"Medium"
"Alphabet Inc Cl A","Communication Services","Internet Content & Information",181798,24,1.7,11.4,11.1,"Significant",3,41,"Low"
"Genuine Parts Co","Consumer Cyclical","Specialty Retail",58000,13,4,4,5,"Low",1,6,"Severe"
"Global Payments Inc","Industrials","Specialty Business Services",25000,19,1.3,6.8,11,"Moderate",2,23,"Severe"
"Garmin Ltd","Technology","Scientific & Technical Instruments",19700,19,5.4,5.3,7.9,"Moderate",2,21,"Severe"
"Goldman Sachs Group Inc","Financial Services","Capital Markets",44600,26,1.3,12.2,12.7,"Significant",3,49,"Low"
"Ww Grainger Inc","Industrials","Industrial Distribution",23000,15,3.4,5.7,5.5,"Low",1,9,"Severe"
"Halliburton Co","Energy","Oil & Gas Equipment & Services",47000,24,8.9,6.3,8.6,"Significant",3,39,"Low"
"Hasbro Inc","Consumer Cyclical","Leisure",6490,7,0,4,3,"Low",1,1,"Severe"
"Huntington Bancshares Inc","Financial Services","Banks—Regional",20198,20,2,7.6,10.8,"Moderate",2,27,"Low"
"Hca Healthcare Inc","Healthcare","Medical Care Facilities",207000,28,3.5,7.4,17.3,"Significant",3,57,"Low"
"Home Depot Inc","Consumer Cyclical","Home Improvement Retail",470000,13,3.4,3.6,5.5,"Low",1,5,"Severe"
"Hess Corp","Energy","Oil & Gas E&P",1623,36,22,7,7,"High",4,83,"Medium"
"Hartford Financial Svcs Grp","Financial Services","Insurance—Diversified",18800,16,2,9,6,"Moderate",2,13,"Severe"
"Huntington Ingalls Industrie","Industrials","Aerospace & Defense",43000,23.51,6.93,5.5,11,"Significant",3,63.12,"Low"
"Hilton Worldwide Holdings In","Consumer Cyclical","Lodging",159000,17,7,4,7,"Moderate",2,17,"Severe"
"Hologic Inc","Healthcare","Medical Instruments & Supplies",6944,28,4.8,10.2,13.3,"Significant",3,58,"Low"
"Honeywell International Inc","Industrials","Conglomerates",97000,29,10.6,8.5,10.2,"Significant",3,61,"Low"
"Hewlett Packard Enterprise","Technology","Communication Equipment",60200,12,1,6,5,"Low",1,4,"Severe"
"Hp Inc","Technology","Computer Hardware",58000,11,0,6,5,"Low",1,3,"Severe"
"Hormel Foods Corp","Consumer Defensive","Packaged Foods",20000,30,13.2,6,10.7,"Significant",3,65,"Low"
"Henry Schein Inc","Healthcare","Medical Distribution",23000,13,2,6,6,"Low",1,7,"Severe"
"Host Hotels & Resorts Inc","Real Estate","REIT—Hotel & Motel",165,14,3,5,6,"Low",1,8,"Severe"
"Hershey Co","Consumer Defensive","Confectioners",18075,27,11.3,5.2,10.9,"Significant",3,55,"Low"
"Humana Inc","Healthcare","Healthcare Plans",67100,22,0,5.9,16.4,"Moderate",2,34,"Low"
"Howmet Aerospace Inc","Industrials","Aerospace & Defense",21400,18.8,6.93,7.6,4.3,"Moderate",2,40.66,"Low"
"Intl Business Machines Corp","Technology","Information Technology Services",288300,15,0.5,7.6,6.7,"Low",1,10,"Severe"
"Intercontinental Exchange In","Financial Services","Financial Data & Stock Exchanges",9116,16,1.7,6.7,8,"Moderate",2,14,"Severe"
"Idexx Laboratories Inc","Healthcare","Diagnostics & Research",11000,19,3,9,7,"Moderate",2,24,"Severe"
"Idex Corp","Industrials","Specialty Industrial Machinery",8868,27,8.1,5.7,13,"Significant",3,52,"Low"
"Intl Flavors & Fragrances","Basic Materials","Specialty Chemicals",24600,22,10.4,6.5,5.4,"Moderate",2,34,"Low"
"Illumina Inc","Healthcare","Diagnostics & Research",11500,11,1,6,4,"Low",1,3,"Severe"
"Incyte Corp","Healthcare","Biotechnology",2324,24,1.5,7.1,15.6,"Significant",3,41,"Low"
"Intel Corp","Technology","Semiconductors",131900,17,4.4,7,5.9,"Moderate",2,16,"Severe"
